Tipo de doc,Numero de identificacion,Codigo entidad,Tipo de usuario,Apellido,Apellido 2,Nombre,Nombre 2,Edad,Unidad de medida,Sexo del usuario,Departamento,Municipio,Zona
CC,1000000001,EPS017,1,URREGO,MOLINA,BRAYAN,HUMBERTO,25,1,M,11,1,U
CC,1000000002,EPS017,1,TORRES,CARDONA,KAREN,TERESA,26,1,F,11,1,U
CC,1000000003,EPS017,1,JAIME,MATEUS,LAURA,VALENTINA,22,1,F,11,1,U
CC,1000000004,EPS017,1,GONZALEZ,ARDILA,CAROL,VANESSA,23,1,F,11,1,U
CC,1000000005,EPS017,1,PINZON,QUIMBAYA,LUIS,ALEJANDRO,22,1,M,11,1,U
CC,1000000006,EPS017,1,AVILA,GOMEZ,MICHEL,DALLANNA,21,1,F,11,1,U
CC,1000000007,EPS017,1,GONGORA,ORDOÑEZ,SANTIAGO,,21,1,M,11,1,U
CC,1000000008,EPS017,1,FIQUITIVA,FLOREZ,YESICA,NATALY,20,1,F,11,1,U
CC,1000000009,EPS017,1,RAMIREZ,GUIZA,VALENTINA,,21,1,F,11,1,U
CC,1000000010,EPS017,1,BLANCO,SUATERNA,JEAN,PAUL,20,1,M,11,1,U
CC,1000000011,EPS017,1,BOGOTA,CAMACHO,KEVIN,MATEO,19,1,M,11,1,U
CC,1000000012,EPS017,1,PARRA,RODRIGUEZ,MARIA,FERNANDA,19,1,F,11,1,U
CC,1000000013,EPS017,1,CUBILLOS,PRETEL,DIANA,PAOLA,29,1,F,11,1,U
CC,1000000014,EPS017,1,YAGUARA,CABEZAS,KAREN,YARLEDI,20,1,F,11,1,U
CC,1000000015,EPS017,1,REYES,SARMIENTO,DANNA,VALENTINA,19,1,F,11,1,U
CC,1000000016,EPS017,1,MARTINEZ,GONZALEZ,SEBASTIAN,,19,1,M,11,1,U
CC,1000000017,EPS017,1,VARELA,LOPEZ,SERGIO,ALEXANDER,19,1,M,11,1,U
CC,1000000018,EPS017,1,VARGAS,PARRA,BRENDA,LORENA,19,1,F,11,1,U
CC,1000000019,EPS017,1,ALBARRACIN,PATIÑO,ANA,MARIA,20,1,F,11,1,U
CC,1000000020,EPS017,1,RAMIREZ,VARGAS,SARAI,ALEXANDRA,20,1,F,11,1,U
CC,1000000021,EPS017,1,GUERRERO,MENDEZ,DAHIAN,CAMILA,20,1,F,11,1,U
CC,1000000022,EPS017,1,TRIVIÑO,BUSTOS,NANCY,NATALIA,19,1,F,11,1,U
CC,1000000023,EPS017,1,VEGA,RUIZ,KAREN,STEFANIA,20,1,F,11,1,U
CC,1000000024,EPS017,1,RODRIGUEZ,ROBAYO,PAULA,XIMENA,19,1,F,11,1,U
CC,1000000025,EPS017,1,CARDENAS,LOZANO,SERGIO,ALEJANDRO,19,1,M,11,1,U
CC,1000000026,EPS017,1,BELTRAN,LOPEZ,JUANA,MAYDE,19,1,F,11,1,U
CC,1000000027,EPS017,1,CABEZAS,MERCHAN,EVELYN,NATALIA,21,1,F,11,1,U
CC,1000000028,EPS017,1,LOPEZ,SEGURA,ANA,SOFIA,22,1,F,11,1,U
CC,1000000029,EPS017,1,FRANCO,OVALLE,DANIELA,MARGARITA,22,1,F,11,1,U
CC,1000000030,EPS017,1,GUERRERO,CUBILLOS,ERIKA,JOHANNA,22,1,F,11,1,U
